Repo,File name,Test File,LLM Model Used,Prompt,Done By,PR,Passing Tests,Execution Time before,Execution Time After,LOC Before,LOC After,Test Case Coverage  %,Radon Score ( Out of 100),Radon Score(Out of 100) Measures Readability,,
https://github.com/scrapy/scrapy,contracts/__init__.py,test_contracts.py,Claude 3.5 Sonnet,,Abdel,https://github.com/scrapy/scrapy/pull/6667/files,7/14,,,,,,,,,
,,,GPT 4o,,Abdel,https://github.com/scrapy/scrapy/pull/6668/files,14/14,,,,,,,,,
,utils/url.py,test_utils_url.py,Claude 3.5 Sonnet,,Abdel,https://github.com/scrapy/scrapy/pull/6669/files,75/78,,,,,,,,,
,,,GPT 4o,,Abdel,https://github.com/scrapy/scrapy/pull/6670/files,78/78,,,,,,,,,
,,,,,,,,,,,,,,,,
https://github.com/se2p/pynguin?utm_source=chatgpt.com,tests/analyses/typesystem.py,,GPT 4o,,Paiman,https://github.com/se2p/pynguin/pull/85/files,200/200,0.38s,0.34s,,,,,,,
,tests/types.py,,GPT 4o,,Paiman,https://github.com/se2p/pynguin/pull/86/files,21/21,0.19s,0.12s,,,,,,,
,,,Claude 3.5 Sonnet,,Paiman,https://github.com/se2p/pynguin/pull/87/files,21/21,0.19s,0.14s,,,,,,,
,,,,,Paiman,,,,,,,,,,,
https://github.com/sharp1230/pymor/tree/cd773fea0e791cdfa5246cc77af50fe2523fbd62,scr/pymore/reductors/lowner.py,test_lowner.py,GPT 4o,,Paiman,unable to make pull request,48/48,19.1s,17.1s,347,298,,,,,
,scr/pymore/reductors/lowner.py,test_loewner.py,Claude 3.5 Sonnet,,Paiman,unable to make pull request,36/48,19.1s,17.1s,347,292,,,,,
,pymor/src/pymor/models/symplectic.py,scr/pymoretest/models/model.py,GPT 4o,,Paiman,unable to make pull request,99/99,13.4s,10.2s,192,182,,,,,
,,unable to make pull request,Claude 3.5 Sonnet,,Paiman,unable to make pull request,99/99,13.4s,10.8s,192,187,,,,,
,,affine_grid.py,CPT 4o,,Paiman,unable to make pull request,20/34,4.67s,60s,125,86,,,,,
,pymor/src/pymortests/fixtures/grid.py,affine_grid.py,Claude 3.5 Sonnet,,Paiman,unable to make pull request,34/34,5.57s,37.64,125,130,,,,,added extra code??
,pymor/src/pymor/core,pymor/src/pymortests/core/logger.py,GPT 4o,,Paiman,unable to make pull request,11/11,0.5s,0.4s,361,352,,,,,
,,,Claude 3.5 Sonnet,,Paiman,unable to make pull request,11/11,0.5s,0.5s,361,352,,,,,
,,,,,,,,,,,,,,,,
https://github.com/tokuhirom/jawiki-kana-kanji-dict,converter.py,test_converter.py,Gemini 2.0 Flash,1,Devang,https://github.com/tokuhirom/jawiki-kana-kanji-dict/pull/35,11/11,0.48s,0.12s,180,124,83,57.64,33.74,,
,,,GPT 4o,1,Devang,https://github.com/tokuhirom/jawiki-kana-kanji-dict/pull/36,0/11,0.48s,0.31s,180,92,83,57.64,NA,,Caused syntax issues
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/jawiki-kana-kanji-dict/pull/1,11/11,0.48s,0.15s,180,110,83,57.64,54.96,,
,validate.py,test_post_validate.py,GPT 4o,1,Devang,https://github.com/tokuhirom/jawiki-kana-kanji-dict/pull/35,40/40,0.49s,0.39s,223,149,50,59.86,49.36,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/jawiki-kana-kanji-dict/pull/2,39/40,0.49s,0.54s,223,130,50,59.86,51.01,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/jawiki-kana-kanji-dict/pull/3,40/40,0.49s,0.38s,223,133,50,59.86,47.49,,
,,,,,,,,,,,,,,,,
https://github.com/crystalchan2001/OktoberfestAccomodation,mapper.py,testMapper.py,GPT 4o,1,Devang,https://github.com/crystalchan2001/OktoberfestAccomodation/pull/1,10/10,0.7s,0.63s,106,77,100,44.32,42.92,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/OktoberfestAccomodation/pull/1,10/10,0.7s,0.63s,106,92,100,44.32,46.63,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/OktoberfestAccomodation/pull/2,10/10,0.7s,0.63s,106,97,100,44.32,41.59,,
,,,,,,,,,,,,,,,,
https://github.com/codefresh-contrib/python-flask-sample-app,auth.py,test_auth.py,GPT 4o,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/1/files,8/8,0.43s,0.41s,116,79,100,61.95,43.12,,
,,,Claude 3.5 Sonnet,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/3,8/8,0.43s,0.37s,116,82,100,61.95,45.95,,
,,,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/4,8/8,0.43s,0.41s,116,95,100,61.95,44.27,,
,blog.py,test_blog.py,Gemini 2.0 Flash,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/2,8/8,0.78s,0.73s,125,101,93,65.22,68.58,,
,,,GPT 4o,1,Devang,https://github.com/devangb3/python-flask-sample-app/pull/6,,0.78s,0.77s,125,90,93,65.22,46.56,,
